Professor,Department,Rating,Difficulty,Num_Ratings,Review_Example
Rui Liu,Asian Studies,5.0,3.0,1,"Liu Laoshi is really likable and easy to reach outside of class. You'll probably spend at least 5 hours a week outside of class preparing for weekly quizzes, preview homework, and journals. But overall, her classes are really enjoyable; if you put in the effort, you should be able to get an A."
Peng (peter) Liu,Hospitality,3.6,3.0,8,"I was genuinely excited to take HADM 3210 and learn about Real Estate investing, yet was disappointed with Professor Liu's course. The ""flipped"" format was highly ineffective, and the pre-class videos did little to educate me on the content. His lectures are dry, all over the place, and the mid-term exam was poorly executed. Take someone else. "
Warren Allmon,Science,4.4,3.1,17,"Dr. Allmon is without a doubt one of the best, most engaging lecturers at Cornell. He has a tendency to put you on the spot and likes to give pop quizzes. He's a harsh grader, but usually his TA is much nicer about it than he is. He's very empathetic and if you show interest in the material, he is very easy to approach. (Attendance recommended)"
Warren Bailey,Business,4.5,3.5,2,Amazing professor. His assignments complement his lecture and are very practical. He makes you think about real world problems. This is one of the best courses I have taken. I have a very good understanding of finance after this. Not a very heavy subject.
Megan Kruer,Writing,5.0,4.0,2,"She is a motivated professor, you can tell she loves to teach and that makes me more motivated.  There is online homework 4 days/week and a quiz every other week.  Definitely read the textbook, study 30 minutes a day, do all online homework, and you'll be good. Oh yeah,participation is not even optional so you will either sink like Titanic or float"
Samantha Brooks,Animal Science,2.5,3.1,7,You get to do ten barn chores that take about an hour and fifteen minutes to do. Lectures are necessary. Quizzes cover random facts and not so much the actual useful stuff or even the material focused on. Quizzes are harder than prelims. TA's are generally not nice or all that available. Office hours do not exist. Horse experience is necessary!!!
Nancy Brooks,Economics,2.5,3.5,8,"Worst professor I have ever experienced.  Lectures are rushed and questions are treated as an interruption to class.  Grading affords no constructive feedback that provides solutions, only aggressive comments stating the answers are incorrect.  Lacks personable skills when interacting outside of class.  If your goal is to learn , avoid this one."
Brooks Crickard,Biology,5.0,2.0,1,Brooks is probably the best professor I have had so far at Cornell. He genuinely cares about all his students and wants to see everyone succeed. He puts an emphasis on understanding why things happen rather than just memorizing stuff which is nice for a biology class. I had him for 3350. 
Chris Riddell,Labor & Employment Relations,3.5,2.8,5,"Took him for labor relations. Lectures are scattered and  unclear. Bargaining sim, two tests, participation papers. group work heavy. Minimal work for the actual class, and Riddell is a cool and very nice guy. You probably won't learn more than the basics of labor relations. Significantly less work than Aleks."
Chris Huckfeldt,Economics,2.9,4.1,21,"Super boring lecturer. Extremely unresponsive to emails. Tests were unrelated to material on Psets. 

All of these would be excusable and I would not give him too much of a hard time, but for the first time in my life I got curved down in a class. Received a RAW score well above a 92 and was given a B+ in the class. Absolutely inexcusable."
Chris Schaffer,Engineering,3.3,3.0,10,"Schaffer is quite temperamental and unhelpful--never knew what was good enough for him even though TAs said ideas were good. Otherwise, he plays almost no role in the class... Would advise against taking it."
Chris Kim,Music,3.9,3.0,7,"Chris is a great conductor, he's extremely helpful and is always open to suggestions. I really enjoyed being in orchestra, and his (sometimes random) metaphors always keep rehearsals fun."
Christopher Earls,Engineering,4.6,1.9,7,"I LOVED THIS CLASS!!! Made me really excited about Civil Engineering. The class was easy and interesting. Earls is really passionate about the material. Very helpful in office hours. No textbook, a few short homeworks, 1 paper, and a group project in the place of a final. The project was fun and a great way to apply the material. My favorite class."
Christopher Lirette,English,3.7,3.0,5,"Favorite class at Cornell. Chris is funny and knows his stuff, especially poetry. My favorite part of the class is that he treated us not like kids and students, but like people who actually wanted to create quality writing and improve. Not recommended for people looking for an easy pass; you have to try. Worth it if you do."
Maria Garcia,Biology,2.5,3.8,14,Not a great class but need to take if you're pre-med or anything related. Tests are very specific and difficult. My tips: pay attention to wording on tests - the answer is almost never all of the above; memorize EVERYTHING on summary pages; use quizlet/flashcards for little details because they WILL be asked. No need to really read textbook.
Sergio Garcia-Rios,Government,4.0,3.0,10,"Nice man but unorganized in his lectures, sometimes unclear about what you were learning, and he doesn't grade until the end of semester. His lectures are open to student opinion and discussion led. The good thing is that meant that the essay prompts on homeworks and exams were always subjective which led to easier grading."
Maria Cristina Garcia,History,5.0,2.8,28,"Highly knowledgeable, caring professor. I learned a lot in her class. Don't be afraid to approach for help or advice."
Ephrahim Garcia,Engineering,3.4,3.3,23,Prof. Garcia was one of the best professors I ever had.  May he Rest-in-Peace.  He managed to make Mechatronics a fun course that taught theory and practice.
Armando Garcia,Languages,1.8,3.0,3,Not the best and certainly not the worst
Pablo Garcia Pinar,Languages,4.3,4.0,4,"Pablo the legend! He does have a strict attendance policy, but you won't want to miss class with him. Pablo's classes are high-tempo and there's A LOT of talking. He explains grammar in a clear way and he's pretty understanding. Pablo's really funny, in a sort of snarky way. I truly miss him!"
